2023-04-20 20:39:45.754 INFO  c.e.h.HW_33_SpringDataApplication - Starting HW_33_SpringDataApplication using Java 18.0.2 with PID 9860 (D:\JAVA\projekt\spring_data_access_homework\HW_33_spring_data\target\classes started by Admin in D:\JAVA\projekt\spring_data_access_homework\HW_33_spring_data)
2023-04-20 20:39:45.779 INFO  c.e.h.HW_33_SpringDataApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-20 20:39:45.894 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-20 20:39:45.895 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-20 20:39:46.792 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-20 20:39:46.868 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 68 ms. Found 2 JPA repository interfaces.
2023-04-20 20:39:47.676 INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-20 20:39:47.688 INFO  o.a.c.c.StandardService - Starting service [Tomcat]
2023-04-20 20:39:47.688 INFO  o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-20 20:39:47.755 INFO  o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
2023-04-20 20:39:47.755 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1860 ms
2023-04-20 20:39:47.925 INFO  o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-04-20 20:39:47.974 INFO  o.h.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-04-20 20:39:48.374 INFO  c.z.h.HikariDataSource - HikariPool-1 - Starting...
2023-04-20 20:39:48.581 INFO  c.z.h.p.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3a7fb9f2
2023-04-20 20:39:48.587 INFO  c.z.h.HikariDataSource - HikariPool-1 - Start completed.
2023-04-20 20:39:48.644 INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-04-20 20:39:50.315 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-04-20 20:39:50.327 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-04-20 20:39:50.948 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-04-20 20:39:51.348 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-20 20:39:51.459 INFO  o.s.b.w.e.t.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-20 20:39:51.479 INFO  c.e.h.HW_33_SpringDataApplication - Started HW_33_SpringDataApplication in 6.576 seconds (process running for 7.803)
2023-04-20 20:40:47.250 INFO  o.a.c.c.C.[.[.[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-20 20:40:47.250 INFO  o.s.w.s.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-20 20:40:47.252 INFO  o.s.w.s.DispatcherServlet - Completed initialization in 1 ms
